Region/Province/City/Municipality/Legislative/Provincial District,Number of Established Precincts,Number of Clustered Precincts,Number of Registered Voters,Number of Voters Who Actually Voted,Voters' Turnout (%)
City of Navotas,948,207,150693,129907,86.21
City of San Juan,624,152,109640,81104,73.97
City of Taguig,2607,623,449359,371575,82.69
Pateros,290,61,39273,33248,84.66
CORDILLERA ADMINISTRATIVE REGION,6926,2153,1077900,921227,85.46
ABRA,1200,395,182696,159540,87.33
1st Provincial District,525,177,78693,68276,86.76
Boliney,18,9,3025,2775,91.74
Bucay,83,24,13026,11132,85.46
Bucloc,15,4,2030,1873,92.27
Daguioman,9,4,1484,1317,88.75
Langiden,20,6,2815,2366,84.05
Luba,36,13,4780,4099,85.75
Manabo,64,17,8325,7288,87.54
Pe簽arrubia,32,10,5044,4011,79.52
Pidigan,55,18,9187,8037,87.48
Pilar,49,20,7796,6653,85.34
Sallapadan,33,10,5174,4678,90.41
San Isidro,23,9,3339,2936,87.93
San Quintin,28,9,4411,3940,89.32
Tubo,29,15,3793,3491,92.04
Villaviciosa,31,9,4464,3680,82.44
2nd Provincial District,675,218,104003,91264,87.75
